f1,f2,f3,f4,label
7.22,3.12,5.70,1.69,virginica
6.83,3.25,5.40,2.07,virginica
6.05,2.93,5.28,1.96,virginica
5.88,3.27,4.42,1.27,versicolor
6.80,3.10,5.17,1.61,virginica
6.30,2.54,4.29,1.64,versicolor
5.96,3.13,5.37,1.83,virginica
4.80,3.36,1.77,0.46,setosa
5.81,2.71,4.82,1.47,versicolor
6.30,2.48,4.17,1.51,versicolor
5.87,2.77,4.59,1.55,versicolor
4.98,3.35,1.45,0.07,setosa
5.94,3.15,4.12,1.14,versicolor
4.54,3.24,1.69,-0.11,setosa
5.42,2.49,4.21,1.39,versicolor
6.41,2.95,5.14,1.74,virginica
4.81,3.28,1.00,0.24,setosa
6.39,2.95,5.03,2.25,virginica
5.88,2.80,4.36,1.67,versicolor
4.84,3.20,1.52,0.49,setosa
6.70,2.96,5.37,2.36,virginica
5.96,3.04,4.06,1.37,versicolor
6.67,2.75,5.20,2.12,virginica
6.27,3.13,4.22,0.99,versicolor
4.98,3.22,1.45,0.44,setosa
6.88,3.11,5.23,2.08,virginica
4.86,3.06,1.37,-0.01,setosa
4.82,3.41,1.42,0.31,setosa
6.14,2.73,5.80,2.01,virginica
5.86,2.90,4.15,1.11,versicolor
6.19,2.88,4.63,1.39,versicolor
4.52,3.83,1.39,0.62,setosa
6.79,3.09,5.99,2.16,virginica
6.07,2.68,4.07,1.56,versicolor
5.67,3.28,2.10,0.05,setosa
6.88,3.25,5.48,2.15,virginica
6.29,3.00,5.08,2.00,virginica
5.96,2.78,4.16,1.24,versicolor
6.98,3.16,5.54,1.95,virginica
5.26,3.32,1.37,0.03,setosa
5.36,3.31,1.29,0.22,setosa
6.08,3.11,4.66,1.15,versicolor
4.76,2.95,1.72,0.14,setosa
6.66,3.11,5.32,1.96,virginica
6.59,2.77,4.81,1.52,versicolor
4.91,3.41,1.24,-0.02,setosa
6.93,2.73,5.52,1.77,virginica
5.96,3.01,4.32,1.19,versicolor
6.67,3.31,5.66,2.04,virginica
7.29,3.07,5.78,1.80,virginica
5.57,2.51,4.45,1.28,versicolor
6.65,3.07,5.63,1.70,virginica
6.24,3.04,4.17,1.04,versicolor
6.17,2.50,4.52,1.08,versicolor
5.81,2.46,4.49,1.17,versicolor
4.65,3.22,1.56,0.11,setosa
6.01,2.50,3.94,1.42,versicolor
4.51,3.33,1.92,-0.26,setosa
7.04,2.86,5.56,1.76,virginica
5.13,3.35,1.03,0.36,setosa
5.44,3.38,1.93,0.28,setosa
6.61,3.10,5.00,1.82,virginica
5.31,3.14,1.71,0.23,setosa
6.42,3.18,5.21,2.04,virginica
6.21,2.80,4.01,1.54,versicolor
5.09,3.23,1.79,0.28,setosa
6.01,3.01,5.61,1.85,virginica
6.81,3.44,5.63,2.19,virginica
6.40,2.51,4.58,1.06,versicolor
5.97,2.73,4.24,1.18,versicolor
5.69,2.79,4.50,1.31,versicolor
4.86,3.87,1.62,0.35,setosa
4.79,3.13,1.51,0.52,setosa
6.22,2.81,4.28,1.24,versicolor
5.69,2.69,4.30,1.10,versicolor
5.77,2.94,4.20,1.61,versicolor
6.71,3.22,5.93,2.00,virginica
6.18,3.01,5.39,2.02,virginica
5.93,2.61,4.45,1.63,versicolor
5.24,3.38,1.61,0.27,setosa
4.93,3.18,1.50,0.17,setosa
6.06,3.03,4.42,1.00,versicolor
5.73,3.00,4.05,1.31,versicolor
6.47,3.10,5.07,1.73,virginica
4.60,3.47,0.86,0.40,setosa
5.72,2.63,4.66,1.45,versicolor
6.15,3.08,4.20,0.93,versicolor
4.86,3.35,1.43,0.27,setosa
5.38,2.64,4.73,1.62,versicolor
6.21,3.11,5.14,2.04,virginica
6.45,2.77,4.48,1.32,versicolor
6.31,3.43,5.95,2.04,virginica
4.40,3.13,1.75,0.16,setosa
6.76,3.04,5.30,2.35,virginica
4.57,3.49,1.31,-0.11,setosa
6.18,2.89,5.00,2.11,virginica
5.84,2.76,4.05,1.34,versicolor
4.45,3.56,1.08,0.20,setosa
6.28,3.08,5.28,1.61,virginica
5.60,3.13,5.50,1.89,virginica
5.97,2.72,4.73,1.22,versicolor
6.22,2.68,4.64,1.53,versicolor
4.59,3.50,2.16,0.16,setosa
6.89,3.16,5.32,2.09,virginica
6.93,3.02,5.44,2.19,virginica
6.34,2.97,5.45,2.02,virginica
6.41,3.14,5.53,2.08,virginica
6.15,2.87,4.41,1.25,versicolor
6.25,2.73,5.24,2.24,virginica
6.15,2.77,3.82,1.43,versicolor
4.66,3.21,1.36,-0.13,setosa
6.96,3.05,5.63,2.02,virginica
6.03,3.05,4.17,1.21,versicolor
6.28,2.66,4.57,1.08,versicolor
6.68,3.26,4.86,2.26,virginica
5.88,3.17,4.31,1.34,versicolor
4.41,3.32,1.38,0.28,setosa
7.14,2.91,5.65,1.99,virginica
6.30,3.01,5.61,2.04,virginica
6.04,3.06,5.63,2.19,virginica
5.14,3.34,1.61,0.07,setosa
6.19,2.70,4.62,1.20,versicolor
5.23,3.32,1.51,0.13,setosa
6.77,2.59,4.27,1.45,versicolor
6.50,2.62,5.77,2.03,virginica
5.75,3.05,4.73,1.36,versicolor
6.14,2.92,4.39,1.34,versicolor
5.98,3.02,4.66,1.54,versicolor
4.41,3.33,1.32,0.09,setosa
6.67,2.80,5.96,2.02,virginica
6.40,3.00,4.42,1.36,versicolor
6.48,2.66,5.46,1.72,virginica
6.17,2.94,4.23,1.24,versicolor
6.98,3.26,5.19,2.17,virginica
5.60,2.84,4.92,1.04,versicolor
6.55,2.66,5.74,2.20,virginica
6.14,3.13,5.47,2.04,virginica
6.76,3.13,5.10,2.11,virginica
5.14,3.42,1.75,0.03,setosa
5.65,3.21,1.42,0.00,setosa
5.96,2.52,3.99,1.47,versicolor
5.42,3.07,4.45,1.08,versicolor
5.32,3.26,1.48,0.36,setosa
6.01,3.15,4.12,1.35,versicolor
6.35,2.95,3.75,1.27,versicolor
4.73,3.33,1.77,0.03,setosa
6.40,2.87,5.82,2.04,virginica
5.54,3.46,1.58,-0.00,setosa
4.59,3.47,1.21,0.26,setosa
6.29,2.84,5.80,2.07,virginica
5.81,3.11,5.53,1.84,virginica
6.62,2.94,4.37,1.73,versicolor
5.79,3.23,1.74,0.19,setosa
4.78,3.47,1.47,0.76,setosa
6.68,3.02,5.07,1.98,virginica
6.33,2.97,5.14,1.93,virginica
4.73,2.95,1.28,-0.11,setosa
6.04,2.69,4.62,1.44,versicolor
6.93,2.74,5.72,2.04,virginica
4.91,3.12,1.54,0.69,setosa
6.30,2.62,4.64,1.36,versicolor
5.99,2.59,4.02,1.22,versicolor
6.10,3.16,4.12,1.31,versicolor
6.41,2.48,4.33,1.15,versicolor
5.69,2.88,4.16,1.49,versicolor
5.28,3.60,2.01,0.24,setosa
6.60,2.73,4.19,0.90,versicolor
4.88,3.53,1.07,0.66,setosa
5.07,3.16,1.22,0.39,setosa
6.46,2.67,5.54,2.00,virginica
6.73,3.01,4.94,1.78,virginica
4.92,3.20,1.02,0.08,setosa
6.42,3.27,4.23,1.34,versicolor
4.90,3.42,1.37,0.23,setosa
6.38,2.97,5.52,2.00,virginica
6.33,2.90,5.48,2.07,virginica
6.09,2.66,4.62,0.92,versicolor
6.74,2.98,5.67,1.89,virginica
4.85,2.97,1.63,0.55,setosa
7.00,2.89,5.62,1.94,virginica
5.19,3.70,0.92,0.23,setosa
5.86,2.99,5.42,2.17,virginica
7.04,3.16,5.92,2.26,virginica
5.03,3.44,1.34,0.24,setosa
7.04,3.14,5.50,2.00,virginica
5.13,3.65,1.70,0.25,setosa
5.82,2.78,4.40,0.98,versicolor
4.73,3.27,1.52,0.12,setosa
5.98,2.60,4.05,1.11,versicolor
5.85,2.89,4.18,1.42,versicolor
5.02,3.34,1.17,0.48,setosa
5.29,3.04,5.00,1.54,versicolor
5.87,3.04,4.35,1.42,versicolor
4.87,3.49,1.52,0.26,setosa
4.90,3.42,1.46,0.04,setosa
6.49,2.95,5.58,1.88,virginica
5.44,2.83,4.61,1.25,versicolor
6.57,2.60,4.23,1.45,versicolor
5.19,3.58,1.52,0.33,setosa
5.86,2.92,4.39,1.12,versicolor
7.12,2.97,5.45,1.93,virginica
7.46,3.31,5.65,2.12,virginica
5.48,3.35,1.27,0.21,setosa
4.73,3.76,1.60,0.25,setosa
6.19,3.22,5.55,1.84,virginica
5.18,3.37,1.38,0.19,setosa
5.21,3.16,1.10,0.28,setosa
7.52,3.20,5.81,1.94,virginica
4.73,3.60,1.54,0.05,setosa
6.10,2.69,5.30,2.02,virginica
5.07,3.58,1.86,0.36,setosa
6.81,2.84,5.72,1.81,virginica
5.87,2.75,4.04,1.32,versicolor
6.45,2.76,4.36,1.29,versicolor
4.69,3.43,2.06,0.36,setosa
6.64,3.09,4.24,1.55,versicolor
5.64,2.98,4.13,1.31,versicolor
6.89,3.21,6.38,2.20,virginica
6.05,3.16,4.70,1.17,versicolor
6.68,2.99,5.82,1.85,virginica
6.59,3.08,4.25,1.11,versicolor
5.24,3.00,4.05,1.19,versicolor
5.34,3.60,1.08,0.23,setosa
5.74,3.34,5.24,1.98,virginica
5.96,2.48,3.63,0.95,versicolor
5.34,3.06,4.12,1.20,versicolor
5.53,2.93,5.64,1.93,virginica
5.92,2.72,3.94,1.05,versicolor
5.90,2.50,4.13,1.17,versicolor
5.76,2.64,4.84,1.43,versicolor
5.56,2.98,4.32,1.51,versicolor
5.05,3.56,1.31,0.04,setosa
6.82,3.38,5.85,1.89,virginica
6.11,3.12,5.11,2.12,virginica
6.48,2.48,4.07,1.34,versicolor
6.47,3.09,5.72,1.90,virginica
7.21,2.98,5.69,1.83,virginica
5.35,3.62,1.61,0.14,setosa
6.03,2.94,4.23,1.18,versicolor
6.08,2.60,4.45,1.30,versicolor
4.75,3.54,1.73,0.21,setosa
4.90,3.42,1.51,0.09,setosa
6.10,2.78,4.39,1.09,versicolor
6.19,2.95,5.52,1.78,virginica
6.81,2.75,5.50,2.10,virginica
4.73,3.33,2.07,0.31,setosa
6.92,3.34,5.35,2.17,virginica
6.56,2.93,5.64,2.00,virginica
6.23,2.91,3.82,1.50,versicolor
6.52,3.33,5.61,2.11,virginica
5.64,2.89,4.77,1.28,versicolor
5.98,2.09,3.88,1.30,versicolor
7.02,2.58,5.45,2.28,virginica
4.68,3.49,0.89,0.47,setosa
6.81,3.11,5.28,1.79,virginica
5.40,3.86,2.11,0.21,setosa
6.56,3.31,5.60,1.70,virginica
6.45,2.84,5.61,2.09,virginica
6.04,2.91,5.54,2.14,virginica
5.84,3.04,4.20,1.57,versicolor
4.90,3.14,1.54,0.54,setosa
5.91,2.75,4.04,1.42,versicolor
5.10,3.32,1.45,0.23,setosa
5.21,3.36,1.30,0.00,setosa
6.11,2.74,4.15,1.60,versicolor
5.47,3.41,1.28,0.16,setosa
6.07,2.63,4.47,1.24,versicolor
6.51,2.73,5.91,2.27,virginica
4.59,3.67,1.80,0.15,setosa
6.24,2.46,3.95,1.23,versicolor
6.07,2.54,4.46,1.40,versicolor
6.79,3.10,5.57,1.79,virginica
4.41,3.33,1.49,0.27,setosa
6.54,2.91,5.65,2.27,virginica
4.23,3.38,1.69,0.11,setosa
6.12,2.67,4.37,1.16,versicolor
5.86,2.89,4.37,1.50,versicolor
6.87,3.00,5.34,2.27,virginica
6.14,2.81,4.34,1.73,versicolor
6.14,2.65,4.24,1.20,versicolor
7.17,2.92,5.68,1.97,virginica
6.89,2.82,5.76,1.71,virginica
5.77,2.90,5.79,2.04,virginica
4.65,3.31,1.01,0.12,setosa
6.46,2.91,3.52,1.28,versicolor
5.65,2.65,4.59,1.23,versicolor
5.86,2.80,3.96,1.43,versicolor
6.36,2.92,5.26,1.96,virginica
6.22,2.61,4.33,1.37,versicolor
7.06,2.96,5.23,2.35,virginica
5.97,2.55,4.51,1.25,versicolor
5.69,2.84,4.67,1.28,versicolor
6.39,2.79,4.19,1.22,versicolor
4.68,3.27,1.74,0.31,setosa
6.09,2.84,4.30,1.27,versicolor
5.84,2.87,4.06,1.25,versicolor
4.79,3.33,0.81,0.47,setosa
6.32,3.18,5.60,1.90,virginica
5.19,3.90,1.41,0.31,setosa
7.05,3.02,5.04,1.94,virginica
5.33,3.25,1.39,0.44,setosa
5.59,3.47,1.30,0.24,setosa
6.49,2.98,5.25,2.01,virginica
6.93,3.07,5.43,2.02,virginica
5.43,2.72,3.76,1.14,versicolor
5.09,3.62,2.09,0.25,setosa
6.34,2.96,5.55,2.02,virginica
5.40,2.65,4.40,0.86,versicolor
6.44,2.91,4.37,1.21,versicolor
6.34,2.83,4.59,0.94,versicolor
5.84,2.62,4.34,1.56,versicolor
5.03,3.62,1.36,0.34,setosa
4.59,3.53,1.29,-0.20,setosa
7.06,2.89,5.48,2.05,virginica
6.08,2.59,4.59,1.33,versicolor
4.77,3.20,1.76,0.16,setosa
6.59,3.46,5.62,1.94,virginica
6.37,2.86,5.52,1.82,virginica
5.89,2.89,4.55,1.44,versicolor
4.88,3.18,1.48,0.41,setosa
5.30,3.16,1.33,0.12,setosa
5.39,2.68,5.57,2.03,virginica
4.91,3.35,1.68,0.26,setosa
6.84,3.01,5.36,2.24,virginica
5.15,3.48,1.27,0.02,setosa
6.28,2.87,4.48,1.13,versicolor
4.92,3.22,1.61,0.09,setosa
6.49,2.73,3.87,1.37,versicolor
4.77,3.20,1.08,0.59,setosa
6.60,2.94,4.23,1.21,versicolor
4.45,3.51,1.38,0.60,setosa
6.59,3.19,6.14,2.13,virginica
5.99,2.99,4.64,1.35,versicolor
6.75,2.85,5.20,1.90,virginica
5.00,3.00,1.11,0.38,setosa
5.52,2.92,4.68,1.15,versicolor
6.12,3.01,4.54,1.22,versicolor
5.95,3.16,1.85,0.56,setosa
6.10,2.86,4.98,1.93,virginica
6.78,3.24,5.99,2.21,virginica
5.97,2.76,4.20,1.48,versicolor
4.59,3.24,1.93,0.29,setosa
5.47,3.54,1.53,0.17,setosa
6.66,2.96,5.33,1.82,virginica
5.89,2.92,4.15,1.30,versicolor
5.42,3.12,1.85,0.42,setosa
4.90,3.46,1.38,-0.02,setosa
5.96,2.72,4.95,1.30,versicolor
5.86,2.73,4.48,1.16,versicolor
5.00,3.17,1.35,0.38,setosa
5.47,3.26,1.34,0.45,setosa
6.90,2.75,6.07,1.80,virginica
5.39,3.31,1.28,0.41,setosa
6.48,3.21,5.09,2.07,virginica
6.84,3.15,5.10,2.02,virginica
6.37,2.84,5.69,1.88,virginica
6.75,3.29,5.31,2.11,virginica
6.15,2.59,4.16,1.12,versicolor
5.91,3.02,4.50,1.13,versicolor
6.82,2.94,4.51,1.02,versicolor
5.51,3.19,1.36,0.00,setosa
4.99,3.59,1.42,0.26,setosa
5.34,3.37,1.66,0.39,setosa
6.25,2.59,3.88,1.26,versicolor
6.37,2.59,5.80,1.87,virginica
6.43,2.97,5.32,2.19,virginica
4.99,3.10,1.24,-0.01,setosa
4.39,3.22,1.49,0.41,setosa
6.06,2.69,4.28,1.26,versicolor
4.88,3.54,1.53,0.04,setosa
4.59,3.55,1.43,0.32,setosa
6.03,2.74,3.88,1.20,versicolor
5.44,2.65,4.06,1.27,versicolor
6.84,3.02,5.55,1.75,virginica
5.92,2.89,4.55,1.44,versicolor
6.31,2.64,4.20,1.34,versicolor
6.87,2.73,5.84,2.16,virginica
6.68,3.06,5.43,2.05,virginica
6.01,3.30,5.91,1.79,virginica
5.65,2.75,4.17,1.20,versicolor
5.58,2.96,4.42,1.08,versicolor
7.04,3.13,5.97,2.05,virginica
6.31,2.81,5.37,2.23,virginica
4.98,3.51,2.03,0.29,setosa
6.30,2.56,4.05,1.44,versicolor
5.64,2.83,4.10,1.33,versicolor
6.52,2.83,3.95,1.54,versicolor
4.45,3.41,1.12,0.03,setosa
5.35,2.81,4.09,1.51,versicolor
6.18,2.52,4.63,1.11,versicolor
4.78,3.94,1.75,0.10,setosa
6.63,2.89,5.27,1.88,virginica
5.94,2.64,3.90,1.40,versicolor
6.62,2.92,5.60,1.76,virginica
5.10,3.11,0.98,0.06,setosa
6.05,2.51,4.46,1.24,versicolor
5.06,3.28,1.51,0.62,setosa
4.78,3.72,1.65,0.26,setosa
6.23,2.98,4.29,1.63,versicolor
5.57,2.58,4.30,1.48,versicolor
6.19,2.72,3.62,1.40,versicolor
6.75,2.97,5.24,1.90,virginica
7.15,2.96,5.41,2.07,virginica
5.73,3.38,2.46,0.43,setosa
6.68,2.98,4.64,1.06,versicolor
6.98,3.26,5.47,2.01,virginica
6.80,2.97,5.43,2.20,virginica
6.55,2.87,3.69,1.37,versicolor
7.29,2.89,5.60,1.91,virginica
5.61,2.61,4.17,1.08,versicolor
5.87,3.07,4.18,1.27,versicolor
5.16,3.53,1.48,0.43,setosa
5.04,3.48,1.28,0.27,setosa
4.54,3.61,1.65,0.42,setosa
4.99,3.29,1.35,0.26,setosa
5.08,3.34,1.02,0.12,setosa
4.61,3.33,1.55,0.01,setosa
5.07,3.10,1.66,0.46,setosa
5.76,2.49,3.76,1.39,versicolor
6.22,2.99,4.56,1.59,versicolor
6.80,2.80,4.44,0.96,versicolor
5.24,2.99,1.94,0.66,setosa
6.57,2.92,5.29,1.73,virginica
5.65,3.74,0.91,0.08,setosa
6.54,2.53,4.50,1.19,versicolor
4.46,3.37,1.59,0.18,setosa
5.14,3.35,1.15,-0.01,setosa
6.66,3.13,5.19,1.89,virginica
4.94,3.90,1.73,0.16,setosa
6.78,2.91,5.29,1.92,virginica
5.08,3.20,0.85,0.16,setosa
5.19,3.50,1.94,0.25,setosa
6.26,2.71,5.83,1.88,virginica
4.74,3.58,1.37,0.11,setosa
6.18,2.80,4.40,1.21,versicolor
5.90,2.63,4.22,0.84,versicolor
6.43,2.92,4.06,1.27,versicolor
6.64,3.17,5.56,1.80,virginica
4.96,3.39,1.43,-0.14,setosa
6.45,2.72,5.51,1.94,virginica
6.53,3.16,5.11,2.58,virginica
6.06,2.60,3.92,1.24,versicolor
6.53,3.15,5.68,1.88,virginica
5.81,2.59,4.45,1.38,versicolor
5.26,3.16,1.84,0.47,setosa
5.67,2.92,4.51,1.02,versicolor
5.34,3.21,1.24,0.16,setosa
5.05,3.58,1.55,0.33,setosa
6.33,3.27,5.17,1.99,virginica
6.58,2.51,3.75,1.25,versicolor
6.70,2.95,5.43,2.45,virginica
5.07,3.31,1.54,0.04,setosa
6.17,3.11,5.83,2.18,virginica
6.63,3.08,5.72,2.15,virginica
5.69,2.95,4.38,1.50,versicolor
6.20,2.74,4.57,1.26,versicolor
7.12,3.04,5.79,2.27,virginica
6.67,2.96,5.32,1.72,virginica
5.96,2.73,4.39,1.22,versicolor
6.90,2.70,5.75,2.01,virginica
4.98,3.58,1.04,0.25,setosa
6.83,3.33,5.83,2.13,virginica
5.77,3.09,4.52,1.33,versicolor
6.15,2.70,4.99,1.41,versicolor
5.35,3.30,2.02,0.23,setosa
5.78,2.89,4.52,1.13,versicolor
6.44,2.91,6.14,2.32,virginica
6.30,2.86,5.51,2.49,virginica
6.68,2.33,4.41,1.43,versicolor
5.07,3.48,1.35,0.12,setosa
5.45,2.90,4.58,1.68,versicolor
6.47,2.94,5.38,1.87,virginica
5.30,3.63,1.28,0.08,setosa
5.72,2.60,4.30,1.18,versicolor
5.79,2.86,3.84,1.29,versicolor
6.34,2.71,4.52,1.40,versicolor
4.81,3.38,1.12,0.29,setosa
5.55,2.96,2.28,0.05,setosa
6.70,3.22,5.64,2.12,virginica
5.21,3.46,1.19,0.25,setosa
5.13,3.02,1.26,0.15,setosa
6.15,2.81,5.68,1.91,virginica
6.14,2.73,5.64,1.95,virginica
6.92,3.09,5.20,2.03,virginica
4.55,3.47,0.99,-0.12,setosa
6.36,2.71,4.09,0.94,versicolor
5.70,2.83,4.49,1.34,versicolor
6.18,2.52,3.91,1.44,versicolor
7.05,3.02,5.84,1.99,virginica
5.36,3.32,1.64,0.10,setosa
6.65,2.84,4.08,1.22,versicolor
6.99,3.04,5.35,1.70,virginica
6.19,3.05,5.11,1.93,virginica
5.79,2.48,4.40,1.01,versicolor
6.63,2.44,4.14,1.35,versicolor
5.50,2.46,4.54,1.28,versicolor
5.66,3.01,4.30,1.33,versicolor
5.40,3.18,1.24,0.18,setosa
5.13,3.58,1.59,0.68,setosa
5.02,3.26,1.11,0.02,setosa
6.66,3.07,5.37,1.81,virginica
4.80,3.38,1.32,0.61,setosa
6.72,3.12,6.23,2.16,virginica
6.57,3.00,5.55,2.27,virginica
5.69,2.82,4.40,1.24,versicolor
5.06,3.78,1.09,0.59,setosa
5.62,2.93,4.15,1.37,versicolor
6.26,2.77,3.89,1.30,versicolor
4.98,3.53,1.93,0.13,setosa
5.82,2.57,3.96,1.38,versicolor
5.67,2.75,4.38,1.02,versicolor
4.84,3.60,1.28,0.45,setosa
6.69,3.05,5.51,1.88,virginica
5.83,2.63,4.69,1.27,versicolor
6.67,2.85,5.39,2.04,virginica
6.97,3.02,5.03,1.87,virginica
5.10,3.43,1.39,0.15,setosa
6.60,3.03,5.36,2.10,virginica
4.70,3.44,1.29,0.37,setosa
6.14,2.72,4.52,1.28,versicolor
5.00,3.46,1.42,0.09,setosa
4.83,3.58,1.85,0.45,setosa
6.33,3.03,4.57,1.39,versicolor
6.90,2.95,6.25,1.70,virginica
5.37,2.83,4.04,1.32,versicolor
4.74,3.31,1.45,0.53,setosa
6.19,3.01,4.31,1.14,versicolor
6.89,3.05,5.77,2.02,virginica
5.78,3.80,1.52,0.29,setosa
7.74,3.00,5.42,2.03,virginica
6.41,3.21,5.12,1.98,virginica
6.32,3.29,5.77,2.02,virginica
6.15,2.65,4.08,1.27,versicolor
6.64,2.92,5.71,2.10,virginica
5.84,2.72,4.67,1.66,versicolor
5.63,2.91,4.15,1.06,versicolor
6.16,2.91,5.16,2.05,virginica
4.88,3.46,1.69,0.46,setosa
6.03,3.12,5.29,2.14,virginica
6.51,2.67,5.69,2.17,virginica
5.04,2.84,4.02,1.36,versicolor
5.39,2.68,4.63,1.52,versicolor
5.33,3.38,1.71,0.62,setosa
4.97,3.25,1.43,0.34,setosa
4.68,3.09,1.49,0.34,setosa
4.55,3.11,1.74,0.22,setosa
5.26,3.46,1.80,0.15,setosa
6.45,2.93,5.84,2.01,virginica
6.02,2.66,4.23,1.02,versicolor
4.51,3.12,1.64,0.71,setosa
5.64,2.62,4.37,0.94,versicolor
5.81,3.08,5.50,1.98,virginica
7.20,2.99,5.31,1.94,virginica
6.36,2.72,4.31,1.04,versicolor
5.81,2.40,4.99,1.57,versicolor
5.03,3.00,1.60,-0.02,setosa
6.73,2.76,5.21,2.12,virginica
6.82,2.99,5.41,1.97,virginica
5.87,2.62,4.31,1.33,versicolor
6.09,2.87,4.14,1.12,versicolor
5.78,2.76,4.15,1.37,versicolor
6.76,2.92,5.72,2.07,virginica
4.92,3.48,1.12,0.08,setosa
4.71,3.34,1.19,0.02,setosa
5.20,2.98,4.17,1.71,versicolor
4.57,3.47,1.91,0.16,setosa
5.95,3.06,4.41,1.28,versicolor
5.12,3.61,1.54,0.47,setosa
5.99,3.58,1.32,0.09,setosa
4.92,3.51,1.71,0.05,setosa
6.63,3.14,5.16,2.30,virginica
7.17,3.16,5.35,2.17,virginica
6.00,2.65,4.45,1.19,versicolor
6.04,2.87,4.52,1.19,versicolor
6.84,2.73,3.96,1.30,versicolor
6.71,2.74,5.52,2.12,virginica
5.52,3.24,2.10,0.27,setosa
5.04,3.85,1.61,0.10,setosa
6.07,3.04,4.03,1.41,versicolor
4.63,2.95,1.52,0.19,setosa
6.45,3.16,5.40,1.84,virginica
4.43,3.21,1.66,0.26,setosa
4.75,3.54,1.40,0.39,setosa
5.38,2.66,4.44,1.21,versicolor
6.35,3.08,5.22,1.71,virginica
6.60,2.71,4.19,1.32,versicolor
6.37,2.98,5.39,2.03,virginica
5.58,3.77,1.14,0.44,setosa
5.49,3.44,1.73,0.18,setosa
6.09,2.57,3.71,1.35,versicolor
6.18,2.51,3.93,1.24,versicolor
7.18,2.75,5.97,2.01,virginica
4.63,3.46,1.13,0.05,setosa
6.10,2.47,4.31,1.10,versicolor
6.31,2.51,4.16,1.16,versicolor
5.97,2.52,4.31,1.35,versicolor
6.10,2.95,5.46,2.15,virginica
6.05,2.93,4.35,1.44,versicolor
6.93,2.85,5.57,1.79,virginica
4.93,3.09,1.27,0.08,setosa
6.44,3.01,3.83,1.12,versicolor
6.01,2.37,4.21,1.60,versicolor
6.14,3.02,5.45,1.66,virginica
5.05,3.36,0.74,0.15,setosa
5.06,3.07,1.39,0.43,setosa
6.70,2.98,4.86,2.23,virginica
5.76,2.51,4.47,1.34,versicolor
4.63,3.50,1.29,0.45,setosa
6.50,2.95,5.49,1.62,virginica
5.75,2.98,4.41,1.35,versicolor
6.78,2.93,5.02,2.03,virginica
5.82,2.39,4.94,1.47,versicolor
5.71,2.58,4.64,1.13,versicolor
6.46,3.35,4.91,2.04,virginica
4.81,3.28,1.22,0.46,setosa
6.43,2.86,4.60,1.53,versicolor
6.17,3.00,4.02,1.38,versicolor
5.81,2.57,4.18,1.11,versicolor
5.91,3.15,5.50,1.98,virginica
5.89,2.78,4.53,1.34,versicolor
6.32,2.88,4.59,1.27,versicolor
6.44,2.65,5.57,1.89,virginica
7.17,3.03,5.56,2.09,virginica
5.04,3.41,1.13,0.26,setosa
5.26,3.42,1.53,0.53,setosa
5.03,3.52,1.44,0.37,setosa
5.58,2.66,3.76,1.63,versicolor
6.00,2.90,3.80,1.53,versicolor
5.63,2.78,4.42,1.73,versicolor
6.64,3.11,5.50,2.09,virginica
6.41,2.81,4.59,1.44,versicolor
6.95,2.96,5.77,1.72,virginica
5.30,3.29,1.35,0.04,setosa
6.51,3.03,5.22,2.03,virginica
6.33,2.84,4.04,1.35,versicolor
4.98,3.65,1.79,0.25,setosa
6.25,2.69,4.59,1.55,versicolor
6.06,2.52,4.06,1.06,versicolor
5.46,3.60,1.32,0.22,setosa
7.05,2.72,5.87,2.03,virginica
5.97,2.85,5.47,2.06,virginica
5.92,2.80,4.26,1.30,versicolor
4.86,3.39,1.47,0.23,setosa
6.29,2.76,5.57,1.70,virginica
7.27,2.94,5.75,2.17,virginica
5.51,3.04,4.68,1.26,versicolor
6.37,2.97,4.37,1.36,versicolor
5.15,3.61,1.35,0.10,setosa
6.40,2.81,4.95,1.72,virginica
5.91,3.04,4.09,1.62,versicolor
6.00,2.93,4.20,1.32,versicolor
4.77,3.47,1.59,0.54,setosa
5.99,2.77,4.11,1.02,versicolor
4.89,3.43,1.45,0.13,setosa
5.23,3.18,0.96,0.24,setosa
6.69,3.26,5.40,1.93,virginica
4.92,3.47,1.67,0.29,setosa
5.96,2.66,4.74,1.36,versicolor
7.36,3.16,5.71,2.17,virginica
6.69,3.05,5.36,2.00,virginica
6.44,3.14,5.14,1.94,virginica
6.70,3.06,5.50,1.92,virginica
5.91,2.98,4.43,1.32,versicolor
6.78,2.72,5.49,1.99,virginica
6.97,2.83,5.71,2.23,virginica
5.31,3.49,1.81,0.15,setosa
5.16,3.41,1.81,0.44,setosa
5.54,3.06,4.68,0.98,versicolor
5.64,2.18,4.13,0.95,versicolor
4.56,3.57,1.65,0.41,setosa
5.94,2.71,3.98,1.29,versicolor
5.05,3.31,1.47,0.24,setosa
5.08,3.44,1.70,0.42,setosa
4.76,3.01,0.52,0.15,setosa
7.11,2.73,5.54,2.41,virginica
6.57,2.55,4.52,1.35,versicolor
5.31,3.42,1.88,0.25,setosa
6.46,3.03,5.31,1.87,virginica
6.84,2.74,5.16,2.04,virginica
4.81,3.45,1.69,0.41,setosa
6.73,3.12,5.32,2.51,virginica
5.53,2.89,4.09,1.32,versicolor
6.64,3.12,5.69,1.87,virginica
5.95,3.24,5.55,1.87,virginica
5.67,2.51,4.33,1.40,versicolor
